city_weather,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,Karratha,AU,77.61,broken clouds,-20.7377,116.8463,ibis Styles Karratha
5,Atuona,PF,76.75,few clouds,-9.8,-139.0333,Villa Enata
6,Georgetown,MY,80.53,thunderstorm,5.4112,100.3354,Cititel Penang
14,Galle,LK,77.52,overcast clouds,6.0367,80.217,Amangalla
25,Half Moon Bay,US,86.88,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
26,Tinaogan,PH,81.05,overcast clouds,9.7791,123.1503,Janno's Enterprises
27,Vila Velha,BR,78.75,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
34,Labuhan,ID,78.62,light rain,-6.8844,112.2051,DoubleFAG
37,Hilo,US,87.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
44,Tomatlan,MX,88.09,broken clouds,19.9333,-105.25,El Salvial
50,Soc Trang,VN,76.01,moderate rain,9.6033,105.98,Phu Quy Hotel
52,Kapaa,US,85.19,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Touros,BR,77.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
56,Roebourne,AU,75.92,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
66,Nouadhibou,MR,75.18,few clouds,20.931,-17.0347,El Medina
68,Hithadhoo,MV,80.71,moderate rain,-0.6,73.0833,Scoop Guest House
69,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
71,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
75,Guanica,PR,84.51,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
79,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
83,Ugoofaaru,MV,81.37,overcast clouds,5.6667,73.0,Ungoofaaru Inn
85,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
86,Pemba,MZ,75.9,few clouds,-12.974,40.5178,Guesthouse Samotina
96,Kudahuvadhoo,MV,81.1,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
102,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
116,Takoradi,GH,76.6,broken clouds,4.8845,-1.7554,Raybow International Hotel
128,Bengkulu,ID,75.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
131,Yulara,AU,76.14,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
