City_ID,City_Weather,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,0,Hasaki,JP,35.7333,140.8333,74.21,57,99,22.75,overcast clouds
1,1,Provideniya,RU,64.3833,-173.3,32.36,69,20,11.18,few clouds
2,2,Eureka,US,40.8021,-124.1637,66.18,64,17,3.0,few clouds
3,3,Plettenberg Bay,ZA,-34.0527,23.3716,70.5,56,100,4.68,overcast clouds
4,4,Karratha,AU,-20.7377,116.8463,77.61,23,57,9.08,broken clouds
5,5,Atuona,PF,-9.8,-139.0333,76.75,70,11,14.65,few clouds
6,6,Georgetown,MY,5.4112,100.3354,80.53,87,20,3.44,thunderstorm
7,7,Ancud,CL,-41.8697,-73.8203,46.78,77,13,6.69,few clouds
8,8,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,88,20,4.61,few clouds
9,9,Pichayevo,RU,53.2363,42.2032,49.87,88,100,12.77,overcast clouds
10,10,College,US,64.8569,-147.8028,34.59,79,75,3.44,broken clouds
11,11,Hameenlinna,FI,60.996,24.4643,48.15,84,58,10.83,broken clouds
12,12,Okhotsk,RU,59.3833,143.3,33.26,51,100,6.96,overcast clouds
13,13,Punta Arenas,CL,-53.15,-70.9167,48.31,57,75,18.41,broken clouds
14,14,Galle,LK,6.0367,80.217,77.52,86,97,5.61,overcast clouds
15,15,Severo-Kurilsk,RU,50.6789,156.125,47.16,84,100,15.1,overcast clouds
16,16,Mar Del Plata,AR,-38.0023,-57.5575,54.09,77,0,18.01,clear sky
17,17,Raduzhnyy,RU,62.0961,77.475,40.89,87,89,10.74,overcast clouds
18,18,Chokurdakh,RU,70.6333,147.9167,19.08,80,100,17.11,overcast clouds
19,19,Starobesheve,UA,47.7504,38.0305,49.37,89,95,17.58,overcast clouds
20,20,Nikolskoye,RU,59.7035,30.7861,46.29,86,43,6.26,scattered clouds
21,21,Chuy,UY,-33.6971,-53.4616,49.15,71,13,6.76,few clouds
22,22,Victoria,HK,22.2855,114.1577,72.32,48,7,15.01,clear sky
23,23,East London,ZA,-33.0153,27.9116,67.82,87,100,13.98,overcast clouds
24,24,Yellowknife,CA,62.456,-114.3525,55.92,58,20,19.57,few clouds
25,25,Half Moon Bay,US,37.4636,-122.4286,86.88,69,0,10.36,clear sky
26,26,Tinaogan,PH,9.7791,123.1503,81.05,78,90,2.89,overcast clouds
27,27,Vila Velha,BR,-20.3297,-40.2925,78.75,83,100,8.05,overcast clouds
28,28,Hinton,CA,53.4001,-117.5857,56.26,51,91,15.9,overcast clouds
29,29,Hermanus,ZA,-34.4187,19.2345,67.8,48,100,7.45,overcast clouds
30,30,Hay River,CA,60.8156,-115.7999,55.38,35,100,11.5,smoke
31,31,Airai,TL,-8.9266,125.4092,65.79,71,100,1.7,overcast clouds
32,32,Tondano,ID,1.3038,124.9112,69.89,85,99,1.5,overcast clouds
33,33,Ahipara,NZ,-35.1667,173.1667,64.54,60,54,3.04,broken clouds
34,34,Labuhan,ID,-6.8844,112.2051,78.62,85,99,8.34,light rain
35,35,Rikitea,PF,-23.1203,-134.9692,72.3,72,21,7.18,few clouds
