City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,75.36,88,75,5.75,TO,2022-10-03 15:41:19
1,Bluff,-46.6,168.3333,43.5,77,69,20.33,NZ,2022-10-03 15:41:19
2,Ichnya,50.8626,32.3942,49.14,79,100,19.73,UA,2022-10-03 15:41:20
3,Lisakovsk,52.5369,62.4936,43.97,27,9,6.4,KZ,2022-10-03 15:41:20
4,Atuona,-9.8,-139.0333,76.41,70,15,18.14,PF,2022-10-03 15:41:23
5,Tiksi,71.6872,128.8694,19.44,94,97,9.95,RU,2022-10-03 15:41:24
6,Bethel,41.3712,-73.414,51.89,69,0,13.8,US,2022-10-03 15:41:24
7,Ushuaia,-54.8,-68.3,47.82,70,0,3.44,AR,2022-10-03 15:41:25
8,Albany,42.6001,-73.9662,51.89,60,95,5.95,US,2022-10-03 15:37:00
9,North Bend,43.4065,-124.2243,56.91,96,100,5.75,US,2022-10-03 15:41:25
10,Kalengwa,-13.4659,25.0027,86.85,11,2,6.82,ZM,2022-10-03 15:41:26
11,Fougamou,-1.2154,10.5838,78.84,91,55,2.82,GA,2022-10-03 15:41:26
12,Avarua,-21.2078,-159.775,73.45,73,40,14.97,CK,2022-10-03 15:41:27
13,Talnakh,69.4865,88.3972,33.21,96,100,15.35,RU,2022-10-03 15:41:27
14,Cape Town,-33.9258,18.4232,66.11,60,40,11.5,ZA,2022-10-03 15:36:44
15,Realeza,-25.7689,-53.5325,77.13,48,0,3.36,BR,2022-10-03 15:41:27
16,Faro,37.0194,-7.9322,74.17,83,0,6.91,PT,2022-10-03 15:41:28
17,Lahaina,20.8783,-156.6825,78.8,97,67,9.73,US,2022-10-03 15:41:28
18,Georgetown,5.4112,100.3354,80.53,87,40,2.3,MY,2022-10-03 15:37:21
19,Barrow,71.2906,-156.7887,24.82,86,100,20.71,US,2022-10-03 15:41:28
20,Lata,40.1629,-8.3327,85.91,32,3,9.84,PT,2022-10-03 15:41:29
21,Hobart,-42.8794,147.3294,47.26,80,82,4.61,AU,2022-10-03 15:37:07
